Dept,Department,Owner,Program,Goal,KPI_CODE,Performance Measure,Description,Technical Description,Performance Pattern,Unit of Measure,FY 2011   Total Actual Data,FY 2012   Total Actual Data,FY 2013   June Actual Data,FY 2013   Total Actual Data,FY 2013   Total Target Data,FY 2013   Total Projected Data,FY 2014   Total Target Data,FY 2015   Total Target Data,FY 2013   Yr End Actual Explanation,FY 2013   Yr End Dept Comment,Major Service Area,Annual Performance Measure Report,City Survey Report,CAFR Report,Government Barometer Report,Mayor's Budget Book,Performance Appraisal Report
DSS,HUMAN SERVICES,"Murray, John",CALWORKS,Facilitate economic self-sufficiency,KPI10286266509154,Current active CalWORKs caseload,This measure is the number of CalWORKs cases that have received cash assistance (TANF) during the month for which the data is reported. ,Data for this measure is obtained from a monthly extract generated by the CalWIN client tracking system. ,Above target is positive,General,5077,4526,4354,4354,4500,4657,4676,4676,"The CalWORKS caseload is the lowest it has been in more than 10 years.  This is in part due to individuals timing out on aid due to legislated maximum time on aid limits as well as concerted efforts to assist individuals in obtaining employmnet, training and/or education. Other factors that may have impacted the decline in the CalWORKs caseload is the gentrification of historically low income neighborhoods and rising cost of living in San Francisco resulting in the displacement of low-income San Franciscans to other communities. ",,C Human Welfare & Neighborhood Development,Yes,No,No,Yes,No,No
DSS,HUMAN SERVICES,"Murray, John",COUNTY ADULT ASSISTANCE PROGRAM,Facilitate economic self-sufficiency,KPI10286466532292,Current active CAAP caseload,This measure reflects the number of cases that are paid cash assistance during the month for which data has been reported. ,Data for this measure is obtained from a monthly extract generated from the CalWIN client tracking system. ,Above target is positive,General,7485,6996,6449,6449,7000,6800,6500,6500, ,,C Human Welfare & Neighborhood Development,Yes,No,No,Yes,No,No
DSS,HUMAN SERVICES,"Murray, John",COUNTY ADULT ASSISTANCE PROGRAM,Promote the health and well being of San Franciscans,KPI1594527646512,Federal reimbursement resulting from CAAP SSI Case Management (HSA's internal SSI advocacy program) clients being awarded SSI,This is the total amount of federal reimbursement during the period resulting from CAAP SSI Case Management (SSI-CM) clients being awarded SSI.  The amounts are based on notifications from SSA.,"Collection Method: HSA's fiscal department is alerted by the Social Security Administration via an online system when a CAAP client is awarded SSI and the amount of reimbursement due HSA.  The HSA fiscal unit then records this information into HSA's COSTS database.  On a semi-annual basis, the HSA Planning Unit performs a data match between the COSTS system and the SSI-CM client tracking spreadsheet.  Timing: Data is gathered on an ongoing basis and the data match is performed on a semi-annual basis for performance measures purposes. Data is gathered by HSA's fiscal unit and the SSI-CM program.",Above target is positive,General,2373114,1347971,712241,1543384,1500000,1662286,1500000,1500000,"This was a new measure starting in FY10-11.  During FY12-13, SF-HSA recouped $1,543,384 in federal reimbursement for CAAP SSI-CM clients awarded SSI.  This exceeds the target of $1.5 million for this measure.  SF-HSA has take steps in recent years to ensure that it collects all of the reimbursement the agency is entitled to.",,,No,No,No,No,No,No
DSS,HUMAN SERVICES,"Murray, John",COUNTY ADULT ASSISTANCE PROGRAM,Promote the health and well being of San Franciscans,KPI1594487521139,Number of CAAP SSI Case Mgmt (HSA's internal SSI Advocacy program) clients exiting cash aid due to receipt of SSI benefits,This is the cumulative number of individuals during the period that received HSA's internal SSI Advocacy services and are discontinued from CAAP due to receipt of SSI benefits. The number is determined based upon the receipt of award letters from SSA. ,Collection Method: HSA's SSI Case Management Program (SSI-CM) maintains a client tracking spreadsheet and tracks which clients are awarded SSI based on award letters and other communications with SSA.  Timing: Data is gathered on an ongoing basis and awards are tallied on a monthly basis. ,Above target is positive,General,1213,731,304,699,800,790,800,800,"This was a new measure starting in FY10-11.  HSA used to report all CAAP clients awarded SSI, but is now only reporting those assisted by its internal SSI advocacy program.  During FY12-13, 699 SSI-CM clients were awarded SSI.  This is 87% of the target of 800 for this measure.  Delays by the Social Security Administration in processing SSI applications and a decrease in the nation-wide award rate for SSI over the last decade are both factors.  In addition, HSA's internal SSI advocacy program experienced some  staff turnover early in the fiscal year, which impacted productivity while new staff were being trained.  Applications submitted increased during the second half of the fiscal year, but many of these claims are still being adjudicated.  ",,,No,No,No,No,No,No
DSS,HUMAN SERVICES,"Murray, John",COUNTY ADULT ASSISTANCE PROGRAM,Promote the health and well being of San Franciscans,KPI1594737711253,Number of SSI applications submitted for CAAP SSI Case Management (HSA's internal SSI advocacy program) clients,This is the cumulative number of SSI applications submitted during the period for SSI Case Management (SSI-CM) clients. This information is tracked by the SSI-CM program.,Collection Method: HSA's SSI Case Management Program (SSI-CM) maintains a client tracking spreadsheet and tracks which clients they submit SSI applications for.  Timing: Data is gathered on an ongoing basis and applications submitted are tallied on a monthly basis.,Above target is positive,General,1409.5,1097,510,997,920,974,920,920,"This was a new measure starting in FY10-11.  During FY12-13, SF-HSA's internal SSI advocacy program submitted 997 SSI applications for CAAP clients.  This exceeds the target of 920 for this measure.",,,No,No,No,No,No,No
DSS,HUMAN SERVICES,"Murray, John",COUNTY ADULT ASSISTANCE PROGRAM,Promote the health and well being of San Franciscans,DSS.CAI.02.431.431,The number of CAAP recipients who are homeless,New measure Feb 2006:   This is an average of the number of homeless CAAP clients receiving cash aid each month. ,"Collection Method: Data for this measure comes from the CalWIN database system.  Data is gathered initially at the time of intake and updated whenever the client has a change in housing status. Timing:  The CalWIN data system is dynamic, and can be queried for current data.  Historical data is stored in extracts that can also be queried for previous periods.",Below target is positive,General,380,385,368,368,420,360,420,420,"The actual average monthly homeless CAAP caseload for FY12-13 was 368 (well below the target of 420).  The homeless caseload was fairly stable over this period.  There is no funding for additional Care Not Cash-exclusive hotels, but there is turnover within the existing portfolio, so homeless caseload entries were offset by exits into housing.  ",,C Human Welfare & Neighborhood Development,Yes,No,No,No,No,No
DSS,HUMAN SERVICES,"Murray, John",DEPARTMENT-WIDE/OTHER,Maximize personal and agency resources,DSS.XXX.01.494.494,Personnel: Number of employees for whom performance appraisals were scheduled,"New measure requested by Mayor on 8/15/05.  This is the number of employees in a department for whom a performance appraisal is to be conducted.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review should be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months. Departments can do appraisals for temporary employees at their discretion.  9/11/09  All future data reporting will be based soley on those PAR's required for the correspodning time period. ","Collection Method: In March 2006 HSA developed a Performance Evaluation System. We created an Access Database using our Excel based Position Control data.  We implemented the system beginning in April 2006.  In May 2006 we made enhancements to the Access Database and were able to link directly to our Position Control spreadsheet which has all of the department's positions listed, which is about 1, 710 filled. Timing:  Current",Above target is positive,General,536,757,104,104,1700,1700,1700,2116,Performance on this measure is significantly below target due to changes in our business practices for scheduling and completing performance appraisals.  The Agency is transitioning from tying performance appraisals to an employees start date to a fixed date for all.  ,,C Human Welfare & Neighborhood Development,Yes,No,No,No,No,Yes
DSS,HUMAN SERVICES,"Murray, John",DEPARTMENT-WIDE/OTHER,Maximize personal and agency resources,DSS.XXX.01.495.495,Personnel: Number of employees for whom scheduled performance appraisals were completed,"New measure requested by Mayor on 8/15/05.  This is the number of applicable employees in a department for whom a performance appraisal was conducted amd completed during the fiscal year.  ""Completed"" means an appraisal form has been filled out and is in the employee's personnel file.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review should be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months.   Departments can do appraisals for temporary employees at their discretion.","Collection Method: In March 2006 HSA developed a Performance Evaluation System. We created an Access Database using our Excel based Position Control data.  We implemented the system beginning in April 2006.  In May 2006 we made enhancements to the Access Database and were able to link directly to our Position Control spreadsheet which has all of the department's positions listed, which is about 1, 710 filled. Timing:  Current",Above target is positive,General,1127,746,100,100,1700,1590,1700,1693,Performance on this measure is significantly below target due to changes in our business practices for scheduling and completing performance appraisals.  The Agency is transitioning from tying performance appraisals to an employees start date to a fixed date for all.  ,,C Human Welfare & Neighborhood Development,Yes,No,No,No,No,Yes
DSS,HUMAN SERVICES,"Murray, John",DEPARTMENT-WIDE/OTHER,Maximize personal and agency resources,DSS.XXX.01.497.497,Personnel: Percent of required bilingual positions filled,"This measure attempts to reflect the Human Services Agency commitment to providing access to services for individuals with limited English Proficiency.  Furthermore, the Department is legislatively mandated to provide access.  Division 21 states, ""The number of public contact positions in each major occupational group shall be determined for each program and/or location whose non-English language cases equal or exceed five percent of the total cases for each program or location.""  The Equal Access to Services Ordinance states, ""...that City Departments would be required to provide services in non-English languages when (a) 10,000 City residents, (b) 5 percent or more of the clients served by the Department, or (c) 5 percent of the residents of the Supervisorial District in which the Departments' offices are located are limited to English-speaking and share a common language.""","Collection Method: Data for this measure is tracked in several places.  The personnel or staffing data is tracked by our Personnel Department in an Excel spreadsheet (personnel Control Report).  Caseload data is tracked in severl client tracking systems (CalWIN, CMIP, AACTS, and Panoramic). Timing:  Data for this measure is compiled annually.",Above target is positive,Percent,0.94,0,0.917,0.917,0.9,0.9,0.9,0.9,"The HSA maintains a committment to providing language and culturally appropriate services.  To this end, the Agency identifies a number of direct service positions as being bilingual positions.  These positions require staff to have language skills other than English.  As staff vacancies come up, these positions are prioritized to be filled.  The Agency also has contracted services to provide translation services (oral and written) as needed.  The 91.7% performance meets and exceeds are stated target for this measure. ",,C Human Welfare & Neighborhood Development,Yes,No,No,No,No,No
DSS,HUMAN SERVICES,"Murray, John",FAMILY AND CHILDREN'S SERVICE,"Assist individuals and families to achieve their greatest potential within the context of family, community and/or society",DSS.CAL.02.442.442,Percent of children who were adopted from child welfare supervised foster care during the most recent 12 month study period that had been in care for less than 24 months (FCS),"CSSR utilizes a ""rolling year"" methodology.  Each quarter they will present data on the previous year up to that quarter.  This differs from the Controller's Office framework, but provides a more rigorous methodology, minimizing the effects of seasonal changes and the anomalies that result from small data samples.","Collection Method: Effective January 1, 2004, SF-HSA is required by the state and federal government to report on these measures.  As part of these requirements, the Center for Social Services Research (CSSR), which is affiliated with the University of California at Berkeley, will be cleaning and analyzing data from the statewide child welfare database and reporting on outcome measures quarterly.   The data is derived from the statewide child welfare database, Child Welfare Services/Case Management System, and the Center for Social Services Research uses special algorithms to eliminate data irregularities. The data is then posted on the CSSR website: http://cssr.berkeley.edu/CWSCMSreports ",Above target is positive,Percent,0.37,0.312,0,0.254,0.37,0.32,0.37,0.37,"Data for this measure comes from UC Berkeley and the most recent data available is reflected (Q1, 2013).  Performance on this measure is below target and lags behind the States performance. ",,C Human Welfare & Neighborhood Development,Yes,No,No,No,No,No
DSS,HUMAN SERVICES,"Murray, John",FAMILY AND CHILDREN'S SERVICE,"Assist individuals and families to achieve their greatest potential within the context of family, community and/or society",DSS.CAL.02.441.441,Percent of children who were reunified from child welfare supervised foster care during the most recent 12 month study period and had been in care less than 12 months,"As mentioned in the previous measure, CSSR utilizes a ""rolling year"" methodology.  Each quarter they will present data on the previous year up to that quarter.  This differs from the Controller's Office framework, but provides a more rigorous methodology, minimizing the effects of seasonal changes and the anomalies that result from small data samples.","Collection Method: Effective January 1, 2004, SF-HSA is required by the state and federal government to report on these measures.  As part of these requirements, the Center for Social Services Research (CSSR), which is affiliated with the University of California at Berkeley, will be cleaning and analyzing data from the statewide child welfare database and reporting on outcome measures quarterly.  The data is derived from the statewide child welfare database, Child Welfare Services/Case Management System, and the Center for Social Services Research uses special algorithms to eliminate data irregularities. The data is then posted on the CSSR website: http://cssr.berkeley.edu/CWSCMSreports ",Above target is positive,Percent,0.708,0.614,0,0.681,0.75,0.65,0.75,0.75,"San Francisco's performance on this measure is better than 68%.  THough this is lower than the established target (75%), it is worth noting that performance exceeds the State's average of 64% and represents an improvement since the last reporting. ",,C Human Welfare & Neighborhood Development,Yes,No,No,No,Yes,No
DSS,HUMAN SERVICES,"Murray, John",FAMILY AND CHILDREN'S SERVICE,Protect and shield against abuse and neglect,DSS.CAL.01.439.439,Number of first time entries into foster care,Unduplicated count of child clients <18 entering a child welfare supervised placement episode of at least eight days duration for the first time during the reporting period.,"Collection Method: Effective January 1, 2004, SF-HSA is required by the state/federal government to report on select performance measures.  The Center for Social Services Research (CSSR), affiliated with the University of California at Berkeley, cleans and analyzes data from the statewide child welfare database and reporting on outcome measures quarterly.  CSSR utilizes a ""rolling year"" methodology.  Each quarter they present data on the previous year up to that quarter.  This differs from the Controller's Office framework, but provides a more rigorous methodology, minimizing the effects of seasonal changes and the anomalies that result from small data samples.  The data is derived from the statewide childwelfare database, Child Welfare Services/Case Management System, and the Center for Social Services Research uses special algorithms to eliminate data irregularities. The data is then posted on the CSSR website: http://cssr.berkeley.edu.ucb_childwelfare/entryrates.aspx",Below target is positive,General,330,263,0,301,275,0,275,275,The 301 first time entries into foster care is for the period of January through December 2012 for youth betweenthe agesd of 0-17 years of age.  Data for this measure comes from UC Berkeley and represents the more recent information available. ,,C Human Welfare & Neighborhood Development,Yes,No,No,No,No,No
DSS,HUMAN SERVICES,"Murray, John",FAMILY AND CHILDREN'S SERVICE,Protect and shield against abuse and neglect,DSS.CAL.01.440.440,"Of all children who were victims of a substantiated maltreatment allegation during the first 6 months of the year, what percent were not victims of another substantiated allegation within the next 6-month period? ","HSA: Effective January 1, 2004, SF-HSA was required by state and federal government to report on this measure.  As part of these requirements, the Center for Social Services Research (CSSR), which is affiliated with the University of California at Berkeley, is cleaning and analyzing data from the statewide child welfare database, Child Welfare Services/Case Management System, and CSSR uses special algorithms to eliminate data irregularities.    CSSR�s time frame, however, differs from that of the Controller�s Office, as their latest reporting period lags behind the Controller�s reporting period.  However, SF-HSA is dependent on CSSR for accurate data on this measure, and this is the latest, reliable information available. This measure reflects the percent of children who were victims of child abuse/neglect and did not have a subsequent substantiated report of abuse/neglect within specific time periods. ","Collection Method: Effective January 1, 2004, SF-HSA was required by state and federal government to report on this measure.  As part of these requirements, the Center for Social Services Research (CSSR), which is affiliated with the University of California at Berkeley, is cleaning and analyzing data from the statewide child welfare database, Child Welfare Services/Case Management System, and CSSR uses special algorithms to eliminate data irregularities.    CSSR�s time frame, however, differs from that of the Controller�s Office, as their latest reporting period lags behind the Controller�s reporting period.  However, SF-HSA is dependent on CSSR for accurate data on this measure, and this is the latest, reliable information available. ",Below target is positive,Percent,0.937,0.925,0,0.95,0.946,0.95,0.946,0.946,"Data for this measure comes from UC Berkeley and the most recent data available (Q1, 2013) is reflected.  Performance on this measure meets or exceeds target.  It is also worth noting that HSA's performance exceeds the State's (93%) overall performance in this area. . ",,C Human Welfare & Neighborhood Development,Yes,No,No,No,No,No
DSS,HUMAN SERVICES,"Murray, John",FAMILY AND CHILDREN'S SERVICE,Protect and shield against abuse and neglect,KPI10287066686942,Total number of children in foster care,This measure provides a count of the number of children with an open case in foster care at the end of each month that data is being reported. ,The data source for this measure is the Child Welfare Services Case Management System (CWS/CMS). CWS/CMS is a longitudinal statewide database that can be queried for current and historical data. ,Above target is positive,General,1215,1090,1067,1067,945,1150,1150,1200,AB12 legislation now gives every foster youth the opportunity to stay in care until age 20.  Future targets will need to be adjusted to reflect the implementation of AB12. ,,C Human Welfare & Neighborhood Development,Yes,No,No,Yes,No,No
DSS,HUMAN SERVICES,"Murray, John",FOOD STAMPS,Promote the health and well being of San Franciscans,DSS.CAH.01.425.425,Current active food stamp caseload,This is the total number of cases receiving non-assistance food stamps.  Non-assistance food stamps cases do not include those cases which also receive other forms of public assistance (e.g. CalWORKs). ,"Collection Method: Data for this measure is tracked within the CalWIN system.  A case file is opened at the point of intake and maintained while the case is active. Timing:  The CalWIN data system is dynamic, and can be queried for current data.  Historical data is stored in extracts that can also be queried for previous periods.",Above target is positive,General,27253,28057,27124,27124,29000,28000,29000,30000, ,,C Human Welfare & Neighborhood Development,Yes,No,No,Yes,Yes,No
DSS,HUMAN SERVICES,"Murray, John",FOOD STAMPS,Promote the health and well being of San Franciscans,DSS.CAH.01.424.424,Food Stamps: Error rate,"The food stamps error rate is a quality control measure that looks at the percentage of cases with an error in the grant amount determined.  This rate could be compared to other counties and an overall national food stamp error rate.  In general, the federal goal is to have a rate at or below 4.5%. ","Collection Method: The California Department of Social Service routinely samples approximately 35-40 food stamp cases for review/audit pulled from the county data system - CalWIN.  As these case files are noted, CDSS refers back these cases to HSA's Quality Control, who in turn does the audit and reports back their finding to the State.  The results are tabulated by the State on a county to county basis, and it in turn calculates the State error rate.  This State information is forwarded to the Federal government and the data is combined to form the national error rate.   Food Stamp Error Rate reported to the State.  Monthly reports reflect the rolling error rate and compares it against the prior Fiscal Year.   As this information gets reported to the State, transmitted thrugh its proprietary on-line Q5I software program, the Federal government is also reviewing subsamples of the completed reviews on a monthly basis.  The Federal findings will validate the State findings, which will be",Below target is positive,Percent,0.0272,0.0274,0.0359,0.0359,0.045,0.034,0.045,0.045,We originally reported a rate of 3.9% through April 2013.  The latter part of the fiscal year's performance was not available until October 18th. As of 2/28/2014 the error rate reflects the rate through June 2013. The program continues to perform below the target of 4.5%  This is a positive outcome.,,C Human Welfare & Neighborhood Development,Yes,No,No,No,Yes,No
DSS,HUMAN SERVICES,"Murray, John",HOMELESS SERVICES,"Assist individuals and families to achieve their greatest potential within the context of family, community and/or society",DSS.CAN.02.490.490,Number of families receiving a rental subsidy,This is the number of rental subsidies provided to families in order to secure/maintain housing and/or avoid eviction.,A monthly census report detailing all disbursement and families receiving subisides are submitted monthly on an Excel spreadsheet to the Housing Homeless Division. ,Above target is positive,General,190,186,202,202,200,212,185,185,"202 families were receiving a rental subsidy funded by the general fund at the end of FY12-13.  This is almost exactly at the target level of 200 for this measure.  The Home for the Holidays funding increased the number of GF slots for FY12-13; however, this funding will sunset by around December 2013.  Also, programs continue to report challenges in clients' ability to secure a unit to attach the subsidy to, due to increasing rents, very low incomes, the lack of affordable units for larger families, and the sometimes poor credit and eviction histories of clients at a time when landlords can be more selective about who they rent to.  Therefore, SF-HSA reduced the target for this measure to 185 starting  in FY13-14.",,C Human Welfare & Neighborhood Development,Yes,No,No,No,Yes,No
DSS,HUMAN SERVICES,"Murray, John",HOMELESS SERVICES,Promote the health and well being of San Franciscans,KPI10286866616215,Average nightly homeless shelter bed use,The numbers reported here represent the average number of beds (single adult) used during the month. ,"Data for this measure is reported via the CHANGES system, but the actual number of beds available is based upon negotiated contracted obligations. ",Above target is positive,General,1013,1099,1093,1093,1050,1090,1100,1100, ,,C Human Welfare & Neighborhood Development,Yes,No,No,Yes,No,No
DSS,HUMAN SERVICES,"Murray, John",HOMELESS SERVICES,Promote the health and well being of San Franciscans,DSS.CAN.01.487.487,Number of CAAP clients leaving homelessness due to obtaining housing through Care Not Cash,"This is the number of homeless CAAP clients who become housed via Care Not Cash within the year.  Care Not Cash housing is in the form of units within the Housing First Program operated by our Housing and Homeless Division.                                                                         CON Jan 2006:  Name revised per HSA's request, data same.  CON Nov 2006:  Name revised per HSA's request, data same.",Collection Method: An internal HSA unit called the Housing Access Team (HAT) serves as the gateway for homeless CAAP clients being referred and placed into Housing First units as part of the Care not Cash initiative.  The HAT has its own database where they track housing referrals and move-ins of homeless CAAP clients.  Monthly reports from this database are produced and archived for reporting to various audiences. Timing:  Monthly and ongoing,Above target is positive,General,394,275,280,280,275,296,275,275,"280 homeless CAAP clients were placed into housing via Care Not Cash during FY12-13.  This is 102% of the current target of 275.  There is no funding for additional Care Not Cash housing, so housing placements can only be made when there is turnover within the existing portfolio of permanent supportive housing.  For this reason, the old target of 360 was reduced to 275 as of FY12-13.",,C Human Welfare & Neighborhood Development,Yes,No,No,No,Yes,No
DSS,HUMAN SERVICES,"Murray, John",HOMELESS SERVICES,Promote the health and well being of San Franciscans,DSS.CAN.01.485.485,Number of households that secured and/or maintained housing due to a one-time grant,One time grants assist families and single adults who are at risk of becoming homeless to stabilize and maintain their housing and avoid accessing the emergency shelter system.  One time grants are direct financial assistance to pay for rent arrearages.  The measure is calculated by counting the number of one time grants (move-in and back rent) awarded during the specified period.,"Collection Method: One time grants are funded through HSA, but directly administered through third-party, non-profit agencies.  These non-profits are under contract with HSA to submit quarterly reports detailing the number of back-rent grants provided during the period. HSA stores two copies of past quarterly reports from the third-party non-profit agencies, one within the Contracts Unit, and one within the Division of Housing and Homelessness. Timing:  Quarterly and annually",Above target is positive,General,2035,1928,2434,2434,2500,2526,2200,2200,"The annual target for this measure is currently 2,500, and the actual figure for FY12-13 was 2,434 (97% of annual target).  There was a substantial increase in the use of these funds due to the expiration of the HPRP federal stimulus grants in June 2012.  Additionally, the Board of Supervisors approved a $1 million add back for this program for FY12-13 to ease the transition away from HPRP.",,C Human Welfare & Neighborhood Development,Yes,No,No,No,Yes,No
DSS,HUMAN SERVICES,"Murray, John",HOMELESS SERVICES,Promote the health and well being of San Franciscans,DSS.CAN.01.488.488,Percent of formerly homeless clients (single adults ) still in supportive housing or other appropriate placements after one year,"Once supportive services for homeless clients have successfully placed the clients in permanent housing, the goal then becomes to maintain a permanent housing arrangement (i.e., avoid a recurrence of homelessness).  This measure looks at the percentage of homeless clients that have retained a housing placement after one year.","Collection Method: The supportive services to assist homeless clients to obtain and maintain permanent housing are funded through HSA, but directly administered through third-party, non-profit agencies.  These non-profits are under contract with HSA to submit quarterly reports detailing the percent of formerly homeless clients during the period that maintained permanent housing for one year. HSA stores two copies of past quarterly reports from the third-party non-profit agencies, one within the Contracts Unit, and one within the Division of Housing and Homelessness. Timing:  Quarterly and annually",Above target is positive,Percent,0.963,0.91,0.94,0.94,0.9,0.91,0.9,0.9,"This measure is computed annually at the close of each fiscal year.  The stability measure for single adults across all HSA housing programs (Master Lease, LOSP and Shelter Plus Care) for FY12-13 is 94.0%. This actual percentage is above the target of 90%.",,C Human Welfare & Neighborhood Development,Yes,No,No,No,Yes,No
DSS,HUMAN SERVICES,"Murray, John",HOMELESS SERVICES,Promote the health and well being of San Franciscans,KPI10286666586984,Percentage of all available homeless shelter beds used,This is the average percentage of shelter beds (single adult) available that have been reserved and used on a nightly basis. ,Data for this measure is derived from the CHANGES shelter bed reservation system. ,Above target is positive,Percent,0.89,0.97,0.96,0.96,0.95,0.96,0.95,0.95, ,,C Human Welfare & Neighborhood Development,Yes,No,No,Yes,No,No
DSS,HUMAN SERVICES,"Murray, John",HOMELESS SERVICES,Promote the health and well being of San Franciscans,DSS.CAN.01.486.486,"Percentage of families exiting shelter who have stayed for 30 days or more and will successfully exit into permanent housing, transitional housing, or a residential treatment program",Supportive services provided at shelters are intended to assist in stabilizing the lives of clients so they are better able to secure permanent housing.  Cases managers are assigned to clients to help them identify and overcome barriers to obtaining permanent housing.  The three outcomes listed above are the main avenues through which case managers guide clients to leave the shelters and enter more permanent housing arrangements.  This measure is calculated by counting the number clients with case managers that achieve one of the three outcomes and then divided the total who exit the program.,"Collection Method: The shelter supportive services and case managers are funded through HSA, but directly administered through third-party, non-profit agencies.  These non-profits are under contract with HSA to submit quarterly reports detailing the number of case managed clients  that achieve one of the three described outcomes during the period. HSA stores two copies of past quarterly reports from the third-party non-profit agencies, one within the Contracts Unit, and one within the Division of Housing and Homelessness. Timing:  Quarterly and annually",Above target is positive,Percent,0.68,0.72,0.61,0.61,0.6,0.7,0.65,0.65,"72 out of 118 (61%) of families have exited to permanent or transitional housing, a treatment program or reunited with family during FY12-13.  This is 1% higher than the 60% target for this measure.  The competitiveness of the Bay Area rental market has made it increasingly difficult to exit families from shelter into housing successfully, but SF-HSA was still able to meet the target mainly due to temporary rental subsidies and SFHA public housing units.  More opportunities for successful shelter exits should occur during FY13-14, with the opening of a new family permanent supportive housing development in the Bayview.",,C Human Welfare & Neighborhood Development,Yes,No,No,No,No,No
DSS,HUMAN SERVICES,"Murray, John",MEDI-CAL,Promote the health and well being of San Franciscans,DSS.CAJ.01.432.432,Medi-cal: Percentage of Medi-Cal applications processed within 45 days,These measures were calculated using applications process within 45 days during the quarter and divide it by total applications during the quarter.,"Collection Method: All MediCal cases, including application dates, are tracked in the CalWIN Data System.  This measure is calculated by comparing the application date to the date eligibilty date or status change date. Timing:  The CalWIN data system is dynamic, and can be queried for current data.  Historical data is stored in extracts that can also be queried for previous periods.",Above target is positive,Percent,0.93,0.9164,0.9036,0.9036,0.9,0.9,0.9,0.9,The Medi-Cal program continues to meet or exceed established program standards for this measure. ,,C Human Welfare & Neighborhood Development,Yes,No,No,No,No,No
DSS,HUMAN SERVICES,"Murray, John",MEDI-CAL,Promote the health and well being of San Franciscans,DSS.CAJ.01.433.433,Medi-Cal: Percentage of Medi-Cal cases redetermined annually,The Medi-Cal program is required to redetermine the eligibility of cases on an annual basis.  This measure is a reflection of the proportion of cases that meet the guidelines for correctly redetemining Medi-Cal cases.,Collection Method: Data for this measure is maintained within the CalWIN data tracking system and is captured at the time of intake. Timing:  Current data for this measure is available by querying the CalWIN data tracking system.,Above target is positive,Percent,0.98,1,0.9775,0.9775,0.9,0.9,0.9,0.9,The Medi-Cal program continues to meet or exceed established program standards for this measure. ,,C Human Welfare & Neighborhood Development,Yes,No,No,No,No,No
DSS,HUMAN SERVICES,"Murray, John",WORKFORCE DEVELOPMENT,Facilitate economic self-sufficiency,DSS.CAK.01.438.438,Job placement rate at or above 125% of the San Francisco minimum wage for aided individuals,"NEW.  CON Feb 2006:  Recommended new measure - this will provide additional information on the welfare client component of individuals receiving job placement services.  We request HSA begin reporting on this measure for FY 2006-07.  HSA 2006 - HSA plays a key role in developing and managing employment, training and workforce development services for the residents of San Francisco.  The target clients for these programs are CalWORKs welfare to work clients and PAES clients, although many of the services are open to a broader population.  This measure looks at the job placement rate of individuals placed in positions at or above the 125% of the local minimum wage from employment programs specifically administered by HSA's Employment Services Program.  The rate is calculated by dividing the number of aided participants that obtained jobs at or above 125% of the local minimum wage by the number of aided participants served by the programs.","Collection Method: The data for this measure are tracked and stored internally within HSA's Employment Services Program.  The data come from a variety of sources, including tracking spreadsheets, billing logs and case records. Timing:  Data for this measure is compiled on a monthly basis and is available for the prior month.",Above target is positive,Percent,0.33,0.09,0.17,0.17,0.45,0.24,0.45,0.45,"Performance on this measure is below target; however, it is a marked improvement over last year. This performance is chiefly due to increased efforts to place individuals through the Jobs Now program which has a slightly less than 125% San Francisco minimum wage rate. ",,C Human Welfare & Neighborhood Development,Yes,No,No,No,No,No
DSS,HUMAN SERVICES,"Murray, John",WORKFORCE DEVELOPMENT,Facilitate economic self-sufficiency,DSS.CAK.01.436.436,Job placement rate for aided individuals,HSA 2006 - This measure is calculated by taking the number of aided individuals (CalWORKs or PAES recipients) that have been placed in a job divided by the number of those individuals referred to the WDD from cash assistance programs.,Collection Method: Data for all placements are tracked by the Workforce Development Division in a log and specialized database and then reported to the Planning Unit. Timing:  Data for this measure is compiled on a monthly basis and is available for the prior month.,Above target is positive,Percent,0.31,0.705,0.69,0.69,0.45,0.56,0.6,0.6,The WDD program has met or exceeded the target for this measure.  This is in large part due to the success of the JobsNOw program. ,,C Human Welfare & Neighborhood Development,Yes,No,No,No,Yes,No
DSS,HUMAN SERVICES,"Murray, John",WORKFORCE DEVELOPMENT,Facilitate economic self-sufficiency,KPI304527104580789,Number of individuals that received workforce development services,An unduplicaed count of those individuals that received workforce develoment services either by HSA staff or a contracted service provider. ,An unduplicated client count of individuals recorded as either receiving services directly from HSA and/or a contract service provider. Data for this measure is obtained from the PIC/WIA client date base and then matched against those clients recorded in the OASYS client data base. ,Above target is positive,General,3773,3631,2642,2642,2500,2800,3000,3000,The WDD program has met or exceeded the target for this measure. ,,C Human Welfare & Neighborhood Development,Yes,No,No,No,Yes,No
