Dept,Department,Owner,Program,Goal,KPI_CODE,Performance.Measure,Description,Technical.Description,Performance.Pattern,Unit.of.Measure,FY.2012...Total.Actual.Data,FY.2013...Total.Actual.Data,FY.2014...June.Actual.Data,FY.2014...Total.Actual.Data,FY.2014...Total.Target.Data,FY.2014...Total.Projected.Data,FY.2015...Total.Target.Data,FY.2016...Total.Target.Data,FY.2014...Yr.End.Actual.Explanation,FY.2014...Yr.End.Dept.Comment,Major.Service.Area,Annual.Performance.Measure.Report,City.Survey.Report,CAFR.Report,Government.Barometer.Report,Mayor.s.Budget.Book,Performance.Appraisal.Report,met.goal,goal.percent
ECD,EMERGENCY MANAGEMENT,"Chan, Grace",DEM EMERGENCY SERVICES,Exercise emergency response capabilities,ECD.BIV.01.508.508,Number of participants in DES led exercises,"Tracks number of participating departments and City partners (NGO, volunteer organizations, business community, and private sector) in each discussion based exercise to evaluate depth of preparedness of departments.",Collection Method: Number of participating departments and partners in discussion based exercises during measurement period. Reported in aggregate. Timing:  Quarterly,Above target is positive,General,567,431,204,336,500,400,500,500,"Various agencies (city and partner) were unable to participate (staffing challanges, etc.).  This impacted our total target numbers. ",,A Public Protection,Yes,No,No,No,Yes,No,FALSE,-32.8
ECD,EMERGENCY MANAGEMENT,"Chan, Grace",DEM EMERGENCY SERVICES,Exercise emergency response capabilities,KPI86179186381380,Overall satisfaction with DES led exercises,Participant satisfaction with DES led exercises  will be measured on a 1-5 scale where 1 is poor and 5 is excellent.   ,Student evaluations will be collected and entered into a tracking database.  Metric will be reported bi-annually. ,Above target is positive,General,4,4.1,4.27,4.27,4,4,4,4,"Survey data indicates an overall particiapant satisfaction of 4.27  due to improvements in exercise planning, specifically building out the exercise program by providing appropriate educational (foundaitonal) components and exercises escalating in complexity.     ",,,No,No,No,No,Yes,No,TRUE,6.75
ECD,EMERGENCY MANAGEMENT,"Chan, Grace",DEM EMERGENCY SERVICES,Promote community preparedness for emergencies,KPI9441685687351,In Person Stakeholder Engagement Meetings,DES provides emergency preparedness messaging to convener organizations throughout the San Francisco Bay Area. ,"DES will track DES hosted stakeholder engagement meetings, including regular stakeholder meetings for outside stakeholders. ",Above target is positive,General,6,14,7,27,15,20,15,15,Decreased numbers due to position being open until July. VOAD and SF Citizen Corp are planning to merge into alternate meetings. ,,,No,No,No,No,No,No,TRUE,80
ECD,EMERGENCY MANAGEMENT,"Chan, Grace",DEM EMERGENCY SERVICES,Promote community preparedness for emergencies,ECD.BIV.03.520.520,Number of brochures distributed,"DES developed website, outreach materials (whistles, postcards, and brochures), and advertising campaign related to disaster preparedness.","DES maintains a rough count of literature and outreach materials printed and distributed, website ""hits"", and emails.",Above target is positive,General,27167,13358,8034,13078,12000,12000,11000,9000,Random online requests for printed materials increased numbers over last year due to LP25th Anniversary awareness. ,,A Public Protection,Yes,No,No,No,No,No,TRUE,8.98
ECD,EMERGENCY MANAGEMENT,"Chan, Grace",DEM EMERGENCY SERVICES,Promote community preparedness for emergencies,ECD.BIV.03.519.519,Number of preparedness presentations made,"DES provides emergency preparedness training to community groups, from neighborhood associations to corporate volunteer councils.",DES maintains records of the organization and number of attendees to which presentations are given and reprots the number of presentations twice annually.,Above target is positive,General,35,33,20,51,25,25,25,25,Variance is due to position being unfilled until July and because presenations frequently take place in the fall preparedness month. ,,A Public Protection,Yes,No,No,No,Yes,No,TRUE,104
ECD,EMERGENCY MANAGEMENT,"Chan, Grace",DEM EMERGENCY SERVICES,Promote community preparedness for emergencies,KPI9441185650838,Online and Social Media Engagement,DES provides emergency preparedness messaging to residents of San Francisco via Social Media channels ,DES will use various software mechanisms to calculate our online and social media reach with preparedness messaging. ,Above target is positive,General,0,119355,69500,135165,62000,66000,65000,67000,Continued push to increase social media awareness. ,,,No,No,No,No,No,No,TRUE,118.01
ECD,EMERGENCY MANAGEMENT,"Chan, Grace",DEPARTMENT-WIDE/OTHER,All City employees have a current performance appraisal,ECD.XXX.01.522.522,# of employees for whom performance appraisals were scheduled,New measure requested by Mayor on 8/15/05.  This is the number of employees in a department for whom a performance appraisal is to be conducted.  DHR policy is that all permanent and provisional employees must have an annual appraisal.,Collection Method: DEM's HR Division. Timing:  Annually by calendar year for Operations personnel and fiscal year for all other employees.,Above target is positive,General,251,256,0,272,272,272,272,272,"Administration, DES and UASI divisions appraisals are scheduled and completed on a FY basis. The DEM Operations staff PPAR's are scheduled and completed on a calendar year basis. ",,A Public Protection,Yes,No,No,No,No,Yes,FALSE,0
ECD,EMERGENCY MANAGEMENT,"Chan, Grace",DEPARTMENT-WIDE/OTHER,All City employees have a current performance appraisal,ECD.XXX.01.523.523,# of employees for whom scheduled performance appraisals were completed,"New measure requested by Mayor on 8/15/05.  This is the number of applicable employees in a department for whom a performance appraisal was conducted and completed during the fiscal year.  ""Completed"" means an appraisal form has been filled out and is in the employee's personnel file.  DHR policy is that all permanent and provisional employees must have an annual appraisal.",Collection Method: DEM's HR Division.  Timing: Annually by calendar year for Operations personnel and fiscal year for all other employees.,Above target is positive,General,229,256,69,231,272,272,272,272,The total number of actual PPAR's completed were 231 for FY June 2014. ,,A Public Protection,Yes,No,No,No,No,Yes,FALSE,-15.07
ECN,ECONOMIC AND WORKFORCE DEVELOPMENT,"Pascual, Merrick",DEPARTMENT-WIDE/OTHER,All City employees have a current performance appraisal,ECN.XXX.01.553.553,# of employees for whom performance appraisals were scheduled,"New measure requested by Mayor on 8/15/05.  This is the number of employees in a department for whom a performance appraisal is to be conducted.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review should be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months. Departments can do appraisals for temporary employees at their discretion.",Collection Method: Evaluations tracked by the managing deputy director for OEWD. Timing: OEWD conducts performance evaluations on an annual year basis. ,Above target is positive,General,6,74,62,62,92,0,92,95,"OEWD extended the review period by 6 months to switch back to a fiscal year period to conduct performance appraisals. This number reflects the number of performance appraisals that have been scheduled for the period from January 1, 2013 - June 30, 2014. ",,"B Public Works, Transportation & Commerce",Yes,No,No,No,No,Yes,FALSE,-32.61
ECN,ECONOMIC AND WORKFORCE DEVELOPMENT,"Pascual, Merrick",DEPARTMENT-WIDE/OTHER,All City employees have a current performance appraisal,ECN.XXX.01.554.554,# of employees for whom scheduled performance appraisals were completed,"New measure requested by Mayor on 8/15/05.  This is the number of applicable employees in a department for whom a performance appraisal was conducted and completed during the fiscal year.  ""Completed"" means an appraisal form has been filled out and is in the employee's personnel file.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review should be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months.   Departments can do appraisals for temporary employees at their discretion.",Collection Method: Evaluations tracked by the managing deputy director for OEWD. Timing: OEWD conducts performance evaluations on an annual year basis. ,Above target is positive,General,5,40,61,61,92,0,92,95,"This reflects a review period from January 1, 2013 - June 30, 2014. ",,"B Public Works, Transportation & Commerce",Yes,No,No,No,No,Yes,FALSE,-33.7
ECN,ECONOMIC AND WORKFORCE DEVELOPMENT,"Pascual, Merrick",ECONOMIC DEVELOPMENT,"Develop, assist, and promote film activities",ECN.BK5.07.549.549,Dollar amount of rebates given to film productions,"Total amount of dollars refunded to film productions that have applied and received rebates from ""Scene in San Francisco,"" the Film Rebate Program.",Collection Method: Data collected and supplied by staff of the Film Commission and Treasurer's Office. Timing:  Data will be collected on an annual basis.,Above target is positive,Currency,627130.98,231024,831509,831509,6e+05,920000,750000,750000,"The seven productions which received the rebate had a total local spend of $3,933,867.  For each dollar the Rebate Program  paid to a production, an average of $4.73 was spent locally in San Francisco. ",,"B Public Works, Transportation & Commerce",Yes,No,No,No,No,No,TRUE,38.58
ECN,ECONOMIC AND WORKFORCE DEVELOPMENT,"Pascual, Merrick",ECONOMIC DEVELOPMENT,"Develop, assist, and promote film activities",ECN.BK5.07.544.544,Number of commercial shoot days,"Number of shoots assisted via phone, on site, and in-office meetings.",Collection Method: Data collected and supplied by staff of the Film Commission. Timing:  Data will be collected on an annual basis.,Above target is positive,General,121,108,135,135,105,180,190,200,"The number of commercial shoot days is up 25%, largely attributable to the numerous car commercials we attract to San Francisco with our attractive financial district area. ",,"B Public Works, Transportation & Commerce",Yes,No,No,No,No,No,TRUE,28.57
ECN,ECONOMIC AND WORKFORCE DEVELOPMENT,"Pascual, Merrick",ECONOMIC DEVELOPMENT,"Develop, assist, and promote film activities",ECN.BK5.07.543.543,Number of film and tv shoot days,"Number of shoots assisted via phone, on site, and in-office meetings.",Collection Method: Data collected and supplied by staff of the Film Commission. Timing:  Data will be collected on an annual basis.,Above target is positive,General,467,240,387,387,330,275,288,302,"There was a 61.25% increase in the number of Film and TV shoot days.  Much of this was due to securing HBO's ""Looking"" and Season 29 of MTV's Real World, which shot their whole seasons here in San Francisco. ","There was a 61.25% increase in the number of Film and TV shoot days.  Much of this was due to securing HBO's ""Looking"" and Season 29 of MTV's Real World, which shot their whole seasons here in San Francisco. ","B Public Works, Transportation & Commerce",Yes,No,No,No,No,No,TRUE,17.27
ECN,ECONOMIC AND WORKFORCE DEVELOPMENT,"Pascual, Merrick",ECONOMIC DEVELOPMENT,"Develop, assist, and promote film activities",ECN.BK5.07.548.548,Number of film productions taking advantage of film incentive rebate program,"Number of film productions that have applied and received rebates from ""Scene in San Francisco,"" the Film Rebate Program.",Collection Method: Data collected and supplied by staff of the Film Commission and Treasurer's Office. Timing:  Data will be collected on an annual basis.,Above target is positive,General,4,3,7,7,3,8,4,4,"The Film Office had a 133% increase in the number of productions which used the Scene in San Francisco Rebate Program.  What is most notable is that between FY06/12, we had 8 productions use the Rebate program, while we had 7 productions apply for a receive a rebate in just this fiscal year. ",,"B Public Works, Transportation & Commerce",Yes,No,No,No,No,No,TRUE,133.33
ECN,ECONOMIC AND WORKFORCE DEVELOPMENT,"Pascual, Merrick",ECONOMIC DEVELOPMENT,"Develop, assist, and promote film activities",ECN.BK5.07.542.542,Number of permits issued,"Number of permits issued for filming, including still photography, commercials, web, industrial, short and feature film/television series.",Collection Method: Data collected and supplied by staff of the Film Commission. Timing:  Data will be collected on an annual basis.,Above target is positive,General,443,530,585,585,580,600,630,660,The Film  Office  increased the number of permits issued by 10.4% since FY12/13.,,"B Public Works, Transportation & Commerce",Yes,No,No,No,Yes,No,TRUE,0.86
ECN,ECONOMIC AND WORKFORCE DEVELOPMENT,"Pascual, Merrick",ECONOMIC DEVELOPMENT,"Develop, assist, and promote film activities",ECN.BK5.07.545.545,Number of still photo shoot days,"Number of shoots assisted via phone, on site, and in-office meetings.",Collection Method: Data collected and supplied by staff of the Film Commission. Timing:  Data will be collected on an annual basis.,Above target is positive,General,274,346,327,327,330,320,340,355,Down 5% or by 19 shooting days over the prior year. ,,"B Public Works, Transportation & Commerce",Yes,No,No,No,No,No,FALSE,-0.91
ECN,ECONOMIC AND WORKFORCE DEVELOPMENT,"Pascual, Merrick",ECONOMIC DEVELOPMENT,"Develop, assist, and promote film activities",ECN.BK5.07.546.546,Other shoot days,"Number of shoots assisted via phone, on site, and in-office meetings.",Collection Method: Data collected and supplied by staff of the Film Commission. Timing:  Data will be collected on an annual basis.,Above target is positive,General,218,307,430,430,165,375,395,410,"There was an overall increase of 40%.  The Film Office had an increase in the number of days in each category which make up these shoot days, with the most noticeable increase in Web shooting days, up 66.6% ",,"B Public Works, Transportation & Commerce",Yes,No,No,No,No,No,TRUE,160.61
ECN,ECONOMIC AND WORKFORCE DEVELOPMENT,"Pascual, Merrick",ECONOMIC DEVELOPMENT,"Develop, assist, and promote film activities",ECN.BK5.07.547.547,Revenues collected from film permits,Total amount of revenue collected from the number of film permits issued.,Collection Method: Data collected and supplied by staff of the Film Commission and Treasurer's Office. Timing:  Data will be collected on an annual basis.,Above target is positive,Currency,165000,171542,243542,243542,190000,2e+05,210000,220000,"Revenues from  permit fees are up 42% since FY12/13, with the most significant increases coming from Web, TV Series and Feature Film shooting days. ",,"B Public Works, Transportation & Commerce",Yes,No,No,No,Yes,No,TRUE,28.18
ECN,ECONOMIC AND WORKFORCE DEVELOPMENT,"Pascual, Merrick",ECONOMIC DEVELOPMENT,To foster international trade,ECN.BK5.05.538.538,Number of international trade delegations hosted or co-hosted,Number of meetings and forums between international officials and/or international business associations and city officials designed to increase trade.,Collection Method: Data will be collected in a spreadsheet by the Director of International Trade and Commerce Timing:  Data collection will be ongoing and will be reported on an annual basis.,Above target is positive,General,160,171,129,129,150,100,120,120,"This total represented 1064 persons representing 33 countries.  During the second half of FY13-14, we saw the number of visits accelerate over the first half. But, the continuing reduction of visits by Chinese government delegations due to new national regulations and financial controls led to fewer China visits than the previous fiscal year. While we are seeing some loosening of these restrictions, the level of China visits still continues to be much lower than in the past. Overall, we surpassed our mid-year estimate due to stronger visitation from Japan, Korea and Europe.",,"B Public Works, Transportation & Commerce",Yes,No,No,No,Yes,No,FALSE,-14
ECN,ECONOMIC AND WORKFORCE DEVELOPMENT,"Pascual, Merrick",ECONOMIC DEVELOPMENT,To grow and support quality workforce opportunities for all San Francisco residents,KPI33456289333367,Average wage increase of individuals receiving workforce services,The average difference between wage at program intake to wage at placement from the program for all individuals over 18 placed in unsubsidized and either part-time or full-time employment.,"Collection Method: There is currently no common or centralized workforce data system that cuts across all City departments, nor do we have common definitions of services, and outcomes. MOEWD plans to develop a comprehensive, real time workforce development data collection system, which will allow us to look at common performance measures across city agencies and contractors. OEWD has began to engage city agencies with workforce portfolios to define outcome measures, data collection techniques, process of developing contracts. For FY2008, data reflects only OEWD, MOCD, HSA and DCYF. Timing: To be determined",Above target is positive,Currency,0,0,0,0,0,0,0,0,,,"B Public Works, Transportation & Commerce",Yes,No,No,No,No,No,FALSE,NaN
ECN,ECONOMIC AND WORKFORCE DEVELOPMENT,"Pascual, Merrick",ECONOMIC DEVELOPMENT,To grow and support quality workforce opportunities for all San Francisco residents,KPI33455889183928,Placement rate of individuals 18 and older who complete a program in jobs that are either full-time or part-time,Placement rate of individuals 18 and older who complete a program in jobs that are either full-time or part-time.,"Collection Method:  Includes the number of individuals who completed training during the Fiscal Year (denominator), and of those individuals, the number who were placed in jobs by the end of the Fiscal Year.",Above target is positive,Percent,0.682,0.696,0.72,0.72,0.7,0.7,0.7,0.7,"During FY13-14, 780 individuals completed training in CityBuild, HealthCare Academy, Hospitality Training, and TechSF. Of those individuals, 564 were placed in jobs as of June 30, 2014.  A strong economy in these four sectors has contributed to success.",,"B Public Works, Transportation & Commerce",Yes,No,No,No,Yes,No,TRUE,2.86
ECN,ECONOMIC AND WORKFORCE DEVELOPMENT,"Pascual, Merrick",ECONOMIC DEVELOPMENT,"To improve the business climate in San Francisco in order to attract and retain businesses, with specific focus on targeted industries and including small business",ECN.BK5.02.527.527,Number of businesses receiving one-on-one technical assistance,"Number of businesses receiving substantive assistance will be tracked by business name, size, type, location, description of problem or issue, assistance provided and outcome.","Collection Method: OEWD and SBC will track each organization and business assisted in a database. As of February 1, 2007 OEWD and SBC is collecting data manually and is not yet able to track all relevant data. We are currently tracking number of calls and referrals. Timing:  Data collection will be ongoing.",Above target is positive,General,1234,1596,0,786,1355,1280,1300,1300, ,,"B Public Works, Transportation & Commerce",Yes,No,No,No,No,No,FALSE,-41.99
ECN,ECONOMIC AND WORKFORCE DEVELOPMENT,"Pascual, Merrick",ECONOMIC DEVELOPMENT,"To improve the business climate in San Francisco in order to attract and retain businesses, with specific focus on targeted industries and including small business",ECN.BK5.02.529.529,Number of businesses taking advantage of incentive programs including local payroll tax exemptions and state enterprise zone benefits,"Number of businesses that apply for and receive the biotechnology payroll tax exclusion, the clean technology payroll tax exclusion and the local enterprise zone payroll tax exclusion, as well as the  number of businesses that received state enterprise zone income tax credits vouchers.",Collection Method: Data will be collected from a Treasurer and Tax Collector database and OEWD data. Businesses are counted by unique address. Timing:  Data will be collected on an annual basis.,Above target is positive,General,1531,1881,3151,3151,1400,1550,175,150,"We would attribute the increase in businesses using the program to the expanded outreach events we completed last FY and the increased press on the program as it was debated at the state level.  PLEASE NOTE this number reflects the number of companies that applied for vouchers through the EZ program.  There is no way to know at the state level how many applied for the actual credit.  Additionally we have included the number of companies that claimed the City programs in the 2013 tax year - we have not included Local EZ claims, as that would be a double count with the state.  TOTALS: 3151 EZ (companies issued vouchers, not necessarily claimed), 20 Bio, 18 Clean, 11 Central Market, 2488 Net New, 1 stock, 7120 Surplus. ",,"B Public Works, Transportation & Commerce",Yes,No,No,No,No,No,TRUE,125.07
ECN,ECONOMIC AND WORKFORCE DEVELOPMENT,"Pascual, Merrick",ECONOMIC DEVELOPMENT,"To improve the business climate in San Francisco in order to attract and retain businesses, with specific focus on targeted industries and including small business",ECN.BK5.02.528.528,"Number of businesses that benefited from Office of Economic and Workforce Development (OEWD) and Small Business Commission (SBC) programs, as identified through business surveys","Number of businesses that responded to survey questions indicating benefit from OEWD and/or OSB programs.  Survey question (e.g., ""did you find your experience with SBC to be helpful?"") rated on a 1 to 5 scale, with one being ""not helpful at all"" and 5 being ""extremely helpful,"" and measure includes all survey responses scored either 4 or 5.  Surveys will be sent to all businesses and organizations that have substantive contact with OSB. Substantive contact is defined as having received grants, attended trainings or workshops, received one-on-one technical assistance or consultations with OSB.",Collection Method: Data will be collected by OEWD through surveys available via the web and email. Timing:  Data will be updated and available on an ongoing basis.,Above target is positive,General,0,0,0,20,1500,500,500,500, ,,"B Public Works, Transportation & Commerce",Yes,No,No,No,No,No,FALSE,-98.67
ECN,ECONOMIC AND WORKFORCE DEVELOPMENT,"Pascual, Merrick",ECONOMIC DEVELOPMENT,"To improve the business climate in San Francisco in order to attract and retain businesses, with specific focus on targeted industries and including small business",ECN.BK5.02.530.530,Number of state and local enterprise zone vouchers issued,"Number of vouchers issued for buisnesses that hired qualified workers with multiple barriers to employment.  Those eligible for or enrolled in Workforce Investment Act (WIA) job training, CalWORKs, or Work Opportunity Tax Credits; economically disadvantaged individuals age 14 years or older; Native Americans; ex-offenders; disabled; those eligible for or receiving Food Stamps, Supplemental Security Income, state or local County Adult Assistance Program (CAAP) (formerly General Assistance or GA); service-connected disabled veterans, veterans of the Vietnam era or a Veteran separated from military service within the last 48 months; dislocated workers; and residents of recognized target employment areas.",Collection Method: Data will be collected from an OEWD database. Timing:  Data will be collected on an ongoing basis,Above target is positive,General,9310,19035,19161,19161,11000,16191,800,500,There was a large rush of voucher applications with the elimination of the program.  We had extra staffing in the first half of the FY allowing for a large number of vouchers to be processed.  The second half of the FY saw a decline in processing as we were doing so with available staff time.  ,,"B Public Works, Transportation & Commerce",Yes,No,No,No,No,No,TRUE,74.19
ECN,ECONOMIC AND WORKFORCE DEVELOPMENT,"Pascual, Merrick",ECONOMIC DEVELOPMENT,To strengthen the economic vitality of neighborhoods and commerical corridors,ECN.BK5.03.533.533,Annual Community Benefit District (CBD) revenue,Total assessment revenue generated in CBDs throughout the City.,"Collection Method: Data collected from CBD plans (projections), in annual report from the CBD management Board and the Treasure and Tax Collector database. Timing:  Data will be collected on an annual basis.",Above target is positive,Currency,27652272,36513256.26,49269931,49269931,44221800,47234932,56561156,60616156,"This amount exceeded our projection of $47million.  This amount is a sum of all FY 13-14 payments plus the prior years redemption collections.  The FY 13-14 Payment Collections represents 97% of the total amount due, showing that the geogrpahic based CBDs overall performed well for the fiscal year. Sector based CBDs (TID and MED) collected a total of $39m in assessments. ",,"B Public Works, Transportation & Commerce",Yes,No,No,No,Yes,No,TRUE,11.42
ECN,ECONOMIC AND WORKFORCE DEVELOPMENT,"Pascual, Merrick",ECONOMIC DEVELOPMENT,To strengthen the economic vitality of neighborhoods and commerical corridors,ECN.BK5.03.532.532,Number of commercial vacancies in targeted commercial corridors,"Number of vacant retail spaces in 12 of the commercial commercial districts that are included in the Invest in Neighborhoods initiative: Leland Avenue in Visitacion Valley, San Bruno in Portola, 3rd Avenue in Bayview, Ocean Avenue in OMI, Mission Street in Excelsior, Lower Polk Street, Lower 24th Street in the Mission, Japantown, North Beach, Chinatown, Larkin Street, and Noe Valley. Our definition of vacant retail spaces had heretofore been primarily limited to vacant spaces available for lease. We have expanded the definition to include vacant spaces under construction and spaces occupied by non-confirming uses (e.g., resident-occupied). This has resulted in a slight increase in our figures that is not representative of actual vacancy trends.",Collection Method: Data will be collected from commercial corridor managers that work for nonprofit organizations that will provide reports. Timing:  Data will be collected on an annual basis,Below target is positive,Percent,0.069,0.088,0.075,0.075,0.07,0.076,0.075,0.0725,"The Invest in Neighborhoods team has stabilized its data collection methods; thus this change represents a real reduction in vacancy rates over time in these 25 corridors. Corridors that experienced notable declines in vacancy rate over the 6-month period include Richmond (from 6.11% to 4.7%), Taraval Street (6.5% to 5%), San Bruno (10.1% to 8.8%), and Broad Street (from 22.4% to 19.6%). ",,"B Public Works, Transportation & Commerce",Yes,No,No,No,No,No,FALSE,-7.14
ECN,ECONOMIC AND WORKFORCE DEVELOPMENT,"Pascual, Merrick",ECONOMIC DEVELOPMENT,"To support and catalyze major City development projects, including public-private partnerships and military base conversions",ECN.BK5.06.541.541,Number of public-private development projects proceeding on time and on budget,Review of major public-private real estate development projects to determine if they are proceeding on time and on budget based upon preset targets. OEWD will also present this number as a percentage of all projects.,Collection Method: Information will be collected in a spreadsheet by the Director of the Base Reuse and Development. Timing:  Data will be updated on an quarterly basis.,Above target is positive,Percent,0.9,1,1,1,0.9,1,0.9,0.9,All projects are on time and budget.  Project timelines extend over multiple fiscal years.  The majority of projects began this year with pre-established budgets. ,,"B Public Works, Transportation & Commerce",Yes,No,No,No,No,No,TRUE,11.11
ECN,ECONOMIC AND WORKFORCE DEVELOPMENT,"Pascual, Merrick",OFFICE OF SMALL BUSINESS AFFAIRS,"Foster, promote and retain small businesses in San Francisco",ECN.BK7.01.552.552,"Number of ordinances, resolutions, motions and policies initiated by or reviewed by the Small Business Commission",Pieces of legislation and policy items addressed by the Office of Small Business.,Collection Method: Data will be collected by OSB staff. Timing: Data will be updated and available on an ongoing basis. ,Above target is positive,General,51,68,0,32,37,37,40,40, ,,"B Public Works, Transportation & Commerce",Yes,No,No,No,No,No,FALSE,-13.51
ECN,ECONOMIC AND WORKFORCE DEVELOPMENT,"Pascual, Merrick",OFFICE OF SMALL BUSINESS AFFAIRS,"Foster, promote and retain small businesses in San Francisco",ECN.BK7.01.551.551,Number of outreach events,Increase visibility and public relations exposure with small business customers,Collection Method: Data will be collected by OSB staff. Timing: Data will be updated and available on an ongoing basis. ,Above target is positive,General,52,41,0,21,50,50,40,40, ,,"B Public Works, Transportation & Commerce",Yes,No,No,No,No,No,FALSE,-58
ECN,ECONOMIC AND WORKFORCE DEVELOPMENT,"Pascual, Merrick",OFFICE OF SMALL BUSINESS AFFAIRS,"Foster, promote and retain small businesses in San Francisco",ECN.BK7.01.550.550,Number of small businesses assisted,"Number of small businesses assisted via phone/walk-in/appointments/sfbizinfo website and phone referrals, merchant walk contacts.",Collection Method: Data will be collected by OSB staff. Timing: Data will be updated and available on an ongoing basis. ,Above target is positive,General,2807,4023,0,1744,3184,3500,3700,3700, ,,"B Public Works, Transportation & Commerce",Yes,No,No,No,Yes,No,FALSE,-45.23
ENV,ENVIRONMENT,"Fish, Monica",CLEAN AIR,Encourage the use of public transportation to improve air quality,KPI156467151880862,Number of CCSF employees using commuter benefits,"This metric replaces previous metric ""Number of City employees participating in commuter check program.""  New method for counting pariticpants is more accurate than previous method, which counted cumulative participation, rather than actual number of employees served within a calendar year.","Number of individaul employees that have taken advantage of commuter benefit program in calenday year, reported annually as FY year end measure. NOTE: IT MAY BE MORE REPRESENTATIVE OF PROGRAM PERFORMANCE TO CALCULATE AS PERCENTAGE OF CCSF EMPLOYEES USING COMMUTER BENEFITS, IF EMPLOYEE DATA CAN BE MADE EASILY AVAILABLE.  ",Above target is positive,General,6862,4186,5040,5040,4500,4650,5000,5500,"Exceeded FY 2014 goal of 4,500 participants.",,,No,No,No,No,No,No,TRUE,12
ENV,ENVIRONMENT,"Fish, Monica",CLEAN AIR,Increase the use of biofuels and/or other alternative fuels by the city fleet,KPI90226300755872,Percentage of CCSF fleet fuel usage that is biodiesel,"Pure biodiesel (B100) is blended with petroleum diesel to produce various grades of biodiesel (B5, B20, etc).  A variety of factors influences the blend of biodiesel used by department fleets.  Current City policy is to achieve B20 fleetwide. ","Collect data on usage of transportation fuel  from reports currently provided under the Master Fueling Contract.  From this data, determine the amount of pure biodiesel (B100) used and the amount of petroleum diesel used by the fleet.  The ratio of B100 to petroleum diesel gives the average biodiesel blend for the fleet. ",Above target is positive,Percent,0.14,0.171,0.171,0.171,0.2,0.171,0.2,0.2,The most recent data available is for FY 2013.  FY 2014 data will not be available until September 2014 at the earliest.,,,No,No,No,No,Yes,No,FALSE,-14.5
ENV,ENVIRONMENT,pmadmin,CLIMATE CHANGE/ENERGY,Encourage the use of renewable energy and energy efficiency,KPI111741602680725,Megawatt reduction: SF Energy Watch program activities,"The SF Energy Watch program provides energy efficiency assessments in commercial and multifamily buildings together with financial incentives to help business and property owners invest in energy efficient retrofits.  The reductions in peak electric demand (Megawatts) will continue to have an impact throughout the life of the energy-saving products.  This measure was created in May 2013 and tracks the Actual data annually; it does NOT reflect the program's cumulative impact. One megawatt of electric demand powers 10,000 San Francisco homes. ","Megawatts of peak electricty demand reduced through SF Energy Watch  energy efficiency programs.    Since 2010, data is tracked in SFE's Sugar CRM database used for Energy Watch projects. The projects are filtered by incentive payment dates for the desired period.  All  summary reports are updated monthly.   The program has set targets, which have been exceeded each year.   ",Above target is positive,General,3.8,5.4,1.65,1.65,3.2,4,5,5,The story here is that the effect of the new state energy code for new construction has stripped many efficiency measures from the energy efficiency programs because of the rules under which the efficiency programs are funded.  The whole state is trying to make adjustment to the rules to solve the problem. ,The story here is that the effect of the new state energy code for new construction has stripped many efficiency measures from the energy efficiency programs because of the rules under which the efficiency programs are funded.  The whole state is trying to make adjustment to the rules to solve the problem. ,,No,No,No,No,Yes,No,FALSE,-48.44
ENV,ENVIRONMENT,pmadmin,CLIMATE CHANGE/ENERGY,Encourage the use of renewable energy and energy efficiency,KPI10856475143407,Metric Tons of CO2 greenhouse gas reduced through SF Energy Watch program activities,The SF Energy Watch program provides energy efficiency assessments in commercial and multifamily buildings together with financial incentives to help business and property owners invest in energy efficient retrofits (electricity and natural gas). The reductions in energy use will continue to save electricity or gas (and corresponding CO2) throughout the life of the energy-saving products. ,"Metric tons of CO2 emissions resulting from activities of the SF Energy Watch energy efficiency program electricity and natural gas).  Since 2010, data is tracked in SFE's Sugar CRM database used for Energy Watch projects. The projects are filtered by incentive payment dates for the desired period.  All  summary reports are updated monthly.  Conversions are: 0.6545 lbs of CO2 saved per kWh;  11.73 pounds of CO2 per therm saved;   2009 pounds of CO2 per metric ton of CO2.  To remove the equivalent of one car from the road would require 6.25  metric tons of CO2 reduction. The program has set targets, which have been exceeded each year.  ",Above target is positive,General,8910,10068,3235,3235,6609,3919,4241,4241,The story here is that the effect of the new state energy code for new construction has stripped many efficiency measures from the energy efficiency programs because of the rules under which the efficiency programs are funded.  The whole state is trying to make adjustment to the rules to solve the problem. ,The story here is that the effect of the new state energy code for new construction has stripped many efficiency measures from the energy efficiency programs because of the rules under which the efficiency programs are funded.  The whole state is trying to make adjustment to the rules to solve the problem. ,,No,No,No,No,Yes,No,FALSE,-51.05
